Steps,Baseline,VQC,LoRA,"3 Qubits, LR 5e-4","4 Qubits, LR 5e-4","4 Qubits, Modified, LR 5e-4","4 Qubits, Modified, LR 1e-3","4 Qubits, Modified, LR 1e-4"
100,2.0271,1.9309,6.2692,6.2523,6.2221,6.2028,6.264,6.2452
200,1.9638,1.9407,4.9451,4.9298,4.8849,4.8044,4.9671,4.9064
300,1.9299,1.9389,2.4977,2.4043,2.5639,2.419,2.6015,2.4238
400,1.9078,1.9436,2.0634,2.0632,2.0461,2.0562,2.0604,2.079
500,1.8914,1.9523,1.9947,1.9932,1.9846,1.9875,1.9909,2.0026
600,1.8774,1.9596,1.9635,1.9622,1.9562,1.9573,1.9595,1.9688
700,1.8696,1.9619,1.9432,1.9426,1.9374,1.9383,1.94,1.9475
800,1.8598,1.9699,1.9276,1.927,1.9229,1.9233,1.9253,1.932
900,1.8574,1.9767,1.9143,1.9143,1.9108,1.9116,1.913,1.9179
1000,1.8511,1.9812,1.9033,1.9033,1.9001,1.9008,1.9023,1.9069
1100,1.8498,1.9872,1.8937,1.8937,1.8908,1.8911,1.8923,1.8969
1200,1.8488,1.9919,1.885,1.8853,1.882,1.8725,1.8838,1.8883
1300,1.8463,2.0035,1.8767,1.8772,1.8744,1.8448,1.8662,1.8803
1400,1.8448,2.0074,1.8692,1.87,1.8673,1.8276,1.849,1.8729
1500,1.8474,2.0142,1.8633,1.8629,1.8506,1.8208,1.8427,1.8662
1600,1.8467,2.0238,1.8567,1.8567,1.8446,1.8149,1.8368,1.8597
1700,1.8465,2.0333,1.8508,1.8511,1.839,1.8089,1.8307,1.8533
1800,1.8518,2.0397,1.845,1.8457,1.8233,1.7836,1.825,1.848
1900,1.8516,2.0505,1.8399,1.8403,1.818,1.7784,1.8103,1.8425
2000,1.8562,2.049,1.8351,1.8352,1.814,1.7652,1.8028,1.8374
