Steps,Baseline,VQC,LoRA,"3 Qubits, LR 5e-4","4 Qubits, LR 5e-4","4 Qubits, Modified, LR 5e-4","4 Qubits, Modified, LR 1e-3","4 Qubits, Modified, LR 1e-4"
100,7.592037495,6.895713592,528.054765,519.2056254,503.760018,494.1306718,525.3160072,515.5323211
200,7.12635583,6.963623802,140.4848986,138.3518392,132.2772369,122.0462413,143.6098144,135.1519904
300,6.888821325,6.951100553,12.15450642,11.07067809,12.98636551,11.23461908,13.4839488,11.28867488
400,6.738248334,6.983847621,7.872691509,7.871117128,7.73766529,7.816211701,7.849108826,7.996468446
500,6.628642287,7.044872167,7.349997698,7.338980966,7.276136349,7.29726777,7.322120706,7.408292641
600,6.536487881,7.096487902,7.124218244,7.114962778,7.072400815,7.080184736,7.095778289,7.162076837
700,6.4857016,7.112828609,6.981054641,6.976867264,6.940681718,6.946931144,6.958750971,7.011137808
800,6.422452153,7.169959457,6.872995243,6.868872683,6.840767959,6.843504813,6.857205519,6.90330305
900,6.407056749,7.218881327,6.782189602,6.782189602,6.758493431,6.763902389,6.773378484,6.806649486
1000,6.366819173,7.251439494,6.707994339,6.707994339,6.686563065,6.691245298,6.701289697,6.732186638
1100,6.358547686,7.295078918,6.643905711,6.643905711,6.624666295,6.626653993,6.634610751,6.665200262
1200,6.352192316,7.329446489,6.586354442,6.588330645,6.566624988,6.504537433,6.578455557,6.608125314
1300,6.33633167,7.414963106,6.531913941,6.535180714,6.516907802,6.326834297,6.463687659,6.555471209
1400,6.326834297,7.443937926,6.483107838,6.488296399,6.470801628,6.21894327,6.353462882,6.507139769
1500,6.343305469,7.494729199,6.444970119,6.442392646,6.363636559,6.176797912,6.313561886,6.463687659
1600,6.338866709,7.567025064,6.402573379,6.402573379,6.325569057,6.140462101,6.276421543,6.421809939
1700,6.337599063,7.639254348,6.364909414,6.366819173,6.29024487,6.103729636,6.238251907,6.380841594
1800,6.371277507,7.688302362,6.32809979,6.332531011,6.192259226,5.951242373,6.202795019,6.347112595
1900,6.370003379,7.771786028,6.295908639,6.298427506,6.159527068,5.920376234,6.112280841,6.3122993
2000,6.399372892,7.760137088,6.26576069,6.266387298,6.134938171,5.842740789,6.066610214,6.280188525
